MGI Gene/Marker ID,Symbol,Name,Chr,Qualifier,Annotated Term,Context,Proteoform,Evidence,Inferred From,Reference(s)
MGI:1914283,2610005L07Rik,RIKEN cDNA 2610005L07 gene,8,,fibroblast migration,,,IMP,MGI:3526861 ,J:117491 
MGI:1917295,2610528A11Rik,RIKEN cDNA 2610528A11 gene,14,,lymphocyte chemotaxis,,,IDA,,J:248456 
MGI:1917295,2610528A11Rik,RIKEN cDNA 2610528A11 gene,14,,lymphocyte chemotaxis,,,ISO,Q6UWK7 ,J:164563 
MGI:1917295,2610528A11Rik,RIKEN cDNA 2610528A11 gene,14,,regulation of T cell migration,,,ISO,Q6UWK7 ,J:164563 
MGI:1914903,4930544G11Rik,RIKEN cDNA 4930544G11 gene,6,,cell migration,,,IBA,PTN001178055 ,J:265628 
MGI:102676,Abcc1,"ATP-binding cassette, sub-family C (CFTR/MRP), member 1",16,,cell chemotaxis,,,ISO,RGD:3112 ,J:155856 
MGI:102676,Abcc1,"ATP-binding cassette, sub-family C (CFTR/MRP), member 1",16,,positive regulation of cell migration,,,ISO,RGD:3112 ,J:155856 
MGI:1352629,Abcc8,"ATP-binding cassette, sub-family C (CFTR/MRP), member 8",7,,negative regulation of neuroblast migration,,,ISO,RGD:3786 ,J:155856 
MGI:1914344,Abhd2,abhydrolase domain containing 2,7,,negative regulation of smooth muscle cell migration,negatively regulates smooth muscle cell migration,,IMP,MGI:3531515 ,J:96209 
MGI:1914344,Abhd2,abhydrolase domain containing 2,7,,smooth muscle cell migration,results in the movement of smooth muscle cell,,IMP,MGI:3531515 ,J:96209 
MGI:1913332,Abhd6,abhydrolase domain containing 6,14,,negative regulation of cell migration,,,IMP,,J:163762 
MGI:106913,Abi2,abl interactor 2,1,,cell migration,"happens in lens fiber,results in the movement of crystallin accumulating cell",,IMP,MGI:3526871 ,J:95254 
MGI:106913,Abi2,abl interactor 2,1,,neuron migration,"happens in cerebral cortex,results in the movement of CNS neuron (sensu Vertebrata)",,IMP,MGI:3526871 ,J:95254 
MGI:1913860,Abi3,ABI family member 3,11,,regulation of cell migration,,,IBA,PTN000825627 ,J:265628 
MGI:1913860,Abi3,ABI family member 3,11,,regulation of cell migration,,,ISO,Q9P2A4 ,J:73065 
MGI:87859,Abl1,"c-abl oncogene 1, non-receptor tyrosine kinase",2,,endothelial cell migration,,,ISO,P00519 ,J:164563 
MGI:87859,Abl1,"c-abl oncogene 1, non-receptor tyrosine kinase",2,,positive regulation of cell migration involved in sprouting angiogenesis,,,IDA,,J:214295 
MGI:87859,Abl1,"c-abl oncogene 1, non-receptor tyrosine kinase",2,,positive regulation of endothelial cell migration,,,ISO,P00519 ,J:164563 
MGI:87859,Abl1,"c-abl oncogene 1, non-receptor tyrosine kinase",2,,positive regulation of T cell migration,,,IMP,,J:259787 
MGI:87860,Abl2,"v-abl Abelson murine leukemia viral oncogene 2 (arg, Abelson-related gene)",1,,positive regulation of T cell migration,,,IMP,,J:259787 
MGI:87860,Abl2,"v-abl Abelson murine leukemia viral oncogene 2 (arg, Abelson-related gene)",1,,"substrate-dependent cell migration, cell extension",happens in fibroblast,,IGI,MGI:109601 ,J:149136 
MGI:87860,Abl2,"v-abl Abelson murine leukemia viral oncogene 2 (arg, Abelson-related gene)",1,,"substrate-dependent cell migration, cell extension",happens in fibroblast,,IGI,MGI:99695 ,J:149136 
MGI:107771,Abr,active BCR-related gene,11,,cell migration,happens in bone marrow,,IGI,MGI:88141 ,J:118168 
MGI:107771,Abr,active BCR-related gene,11,,macrophage migration,results in the movement of macrophage,,IGI,MGI:88141 ,J:118168 
MGI:107771,Abr,active BCR-related gene,11,,negative regulation of cellular extravasation,,,IMP,,J:195022 
MGI:107771,Abr,active BCR-related gene,11,,negative regulation of macrophage migration,"negatively regulates cell migration,negatively regulates macrophage migration",,IGI,MGI:88141 ,J:118168 
MGI:99602,Acan,aggrecan,7,,negative regulation of cell migration,,,ISO,RGD:68358 ,J:155856 
MGI:2153589,Acap3,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 3",4,,neuron migration,results in the movement of cerebral cortex neuron,,IMP,,J:251237 
MGI:87874,Ace,angiotensin I converting enzyme (peptidyl-dipeptidase A) 1,11,,regulation of smooth muscle cell migration,,,ISO,RGD:2493 ,J:155856 
